FID,Id,POINT_X,POINT_Y,STATION
629,0,296574.3224,3235611.633,LCO21
630,0,296576.3224,3235611.633,LCO21
631,0,296566.3224,3235613.633,LCO21
632,0,296568.3224,3235613.633,LCO21
633,0,296570.3224,3235613.633,LCO21
634,0,296572.3224,3235613.633,LCO21
635,0,296574.3224,3235613.633,LCO21
636,0,296576.3224,3235613.633,LCO21
637,0,296566.3224,3235615.633,LCO21
638,0,296568.3224,3235615.633,LCO21
639,0,296570.3224,3235615.633,LCO21
640,0,296572.3224,3235615.633,LCO21
641,0,296574.3224,3235615.633,LCO21
642,0,296564.3224,3235617.633,LCO21
643,0,296566.3224,3235617.633,LCO21
644,0,296568.3224,3235617.633,LCO21
645,0,296570.3224,3235617.633,LCO21
646,0,296572.3224,3235617.633,LCO21
647,0,296574.3224,3235617.633,LCO21
648,0,296564.3224,3235619.633,LCO21
649,0,296566.3224,3235619.633,LCO21
650,0,296568.3224,3235619.633,LCO21
651,0,296570.3224,3235619.633,LCO21
652,0,296572.3224,3235619.633,LCO21
653,0,296562.3224,3235621.633,LCO21
654,0,296564.3224,3235621.633,LCO21
655,0,296566.3224,3235621.633,LCO21
656,0,296568.3224,3235621.633,LCO21
657,0,296570.3224,3235621.633,LCO21
