FID,FID_wildre,Id,FID_reefma,Id_1,Harvest,Locality,Site,POLY_AREA,Bar,Quartile,POINT_X,POINT_Y
305,357261,0,14,0,yes,LC,I,1375.207951,19,1,298373.4375,3235122.733
306,358323,0,14,0,yes,LC,I,1375.207951,19,1,298315.4375,3235124.733
307,358324,0,14,0,yes,LC,I,1375.207951,19,1,298317.4375,3235124.733
308,358325,0,14,0,yes,LC,I,1375.207951,19,1,298319.4375,3235124.733
309,358326,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235124.733
310,358327,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235124.733
311,358328,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235124.733
312,358329,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235124.733
313,358330,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235124.733
314,358331,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235124.733
315,358332,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235124.733
316,358333,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235124.733
317,358334,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235124.733
318,358335,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235124.733
319,358336,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235124.733
320,358337,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235124.733
321,358340,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235124.733
322,358341,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235124.733
323,358342,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235124.733
324,358343,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235124.733
325,358344,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235124.733
326,358345,0,14,0,yes,LC,I,1375.207951,19,1,298359.4375,3235124.733
327,358346,0,14,0,yes,LC,I,1375.207951,19,1,298361.4375,3235124.733
328,358347,0,14,0,yes,LC,I,1375.207951,19,1,298363.4375,3235124.733
329,358348,0,14,0,yes,LC,I,1375.207951,19,1,298365.4375,3235124.733
